instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
USO,LONG,1301,2020-01-03T21:00:00+00:00,13.243025000000001,2020-02-04T21:00:00+00:00,10.67325,-3343.277275000002,31.115073775000003,1.0,false
IWM,LONG,100,2020-01-03T21:00:00+00:00,164.259625,2020-03-03T21:00:00+00:00,151.20105,-1305.8574999999992,31.546067500000003,1.0,false
SPY,LONG,51,2020-01-03T21:00:00+00:00,322.57442499999996,2020-04-02T20:00:00+00:00,247.00095000000002,-3854.2472249999973,29.048344124999996,1.0,false
SPY,LONG,26,2020-03-03T21:00:00+00:00,309.41159999999996,2020-04-02T20:00:00+00:00,247.00095000000002,-1622.6768999999986,14.4667263,1.0,false
QQQ,LONG,77,2020-01-03T21:00:00+00:00,214.41469999999998,2020-04-02T20:00:00+00:00,184.29809999999998,-2318.9782000000005,30.7008856,1.0,false
QQQ,LONG,33,2020-03-03T21:00:00+00:00,216.8207,2020-04-02T20:00:00+00:00,184.29809999999998,-1073.2458000000004,13.236920399999999,1.0,false
TLT,LONG,18,2020-01-03T21:00:00+00:00,138.7861,2020-05-04T20:00:00+00:00,168.27824999999999,530.8586999999997,5.5271583,1.0,false
GLD,LONG,15,2020-01-03T21:00:00+00:00,145.7635,2020-05-04T20:00:00+00:00,159.530175,206.5001250000003,4.579405125,1.0,false
QQQ,LONG,20,2020-05-04T20:00:00+00:00,211.978625,2020-06-02T20:00:00+00:00,234.08332499999997,442.0939999999996,8.921239,1.0,false
TLT,LONG,10,2020-01-03T21:00:00+00:00,138.7861,2020-06-02T20:00:00+00:00,161.5152,227.29099999999988,3.2455518155339806,1.0,false
GLD,LONG,18,2020-01-03T21:00:00+00:00,145.7635,2020-06-02T20:00:00+00:00,162.81195,306.87210000000005,5.94791955,1.0,false
USO,LONG,426,2020-05-04T20:00:00+00:00,18.375825,2020-06-02T20:00:00+00:00,26.43375,3432.6760500000005,19.08887895,1.0,false
QQQ,LONG,3,2020-05-04T20:00:00+00:00,211.978625,2020-07-02T20:00:00+00:00,251.0508,117.21652500000005,1.5336191556818184,1.0,false
USO,LONG,29,2020-05-04T20:00:00+00:00,18.375825,2020-07-02T20:00:00+00:00,28.548450000000003,295.0061250000001,1.6485288698669205,1.0,false
